#{"t_start": 1760896808.834667, "env_id": "Hopper-v5"}
r,l,t
658.689983,216,33.152739
644.268563,209,33.200131
382.082814,140,33.23221
327.362549,132,33.921059
468.358246,157,33.958962
577.433478,192,34.003432
355.249893,139,34.035479
593.14175,190,34.078882
485.480386,170,34.118169
583.764185,213,34.166786
558.732716,187,34.210204
495.937062,170,34.249995
618.265174,203,34.297139
477.770507,162,34.334724
205.381907,90,34.355728
395.837313,139,34.388388
299.327874,127,35.353954
450.43937,158,35.390745
388.963928,141,35.424094
390.400579,138,35.469065
338.966249,134,35.502518
468.363548,166,35.540748
310.760541,135,35.572912
404.362605,141,35.605978
552.145865,179,35.647247
450.767282,162,35.684762
599.138173,195,35.730112
415.837231,147,35.763765
436.472158,153,35.798976
365.198258,132,36.230032
404.428558,138,36.261763
363.790103,130,36.291312
396.92882,138,36.32265
416.73178,143,36.3552
616.71533,192,36.399103
493.436385,176,36.440925
170.966944,81,36.473379
875.744643,300,36.542711
478.810301,159,36.578672
537.546798,180,36.62039
403.261913,138,36.651911
554.45699,186,36.695043
391.038979,138,37.29222
629.170632,200,37.353861
391.527903,145,37.38882
509.085768,171,37.428513
606.026072,195,37.473518
425.007556,149,37.508239
428.706913,148,37.542347
634.885318,201,37.588385
428.54411,148,37.622136
403.878783,139,37.653866
498.465559,168,37.692081
498.052103,165,37.729824
646.270568,207,38.1739
260.381087,111,38.199397
601.809261,189,38.242149
512.113827,172,38.281225
432.765587,151,38.315881
408.756799,144,38.349044
371.038021,138,38.380742
433.823326,148,38.414676
358.177345,131,38.444517
96.877604,56,38.460077
642.774241,204,38.506443
326.566774,125,38.534548
490.933694,176,38.574319
519.307829,173,38.614091
611.529124,201,39.047809
360.466334,131,39.07845
429.055771,147,39.113141
379.428866,134,39.14612
636.511594,218,39.196467
110.960853,61,39.210344
394.306301,140,39.242228
634.466523,208,39.289684
401.074016,149,39.323358
555.253908,182,39.364622
421.648265,148,39.397921
384.857125,134,39.428565
445.142887,154,39.463719
510.559909,167,41.664679
670.53981,208,41.71443
660.065057,213,41.766825
393.492621,137,41.799016
368.662206,130,41.829622
639.958914,203,41.877052
586.435332,188,41.92047
359.709929,127,41.949185
380.74756,135,41.980451
749.059935,245,42.037449
438.125369,147,42.070612
624.154189,207,42.118043
610.06565,196,42.562052
497.273634,167,42.599925
657.762543,216,42.64945
266.244361,105,42.673988
402.482529,139,42.706435
393.922634,139,42.739501
392.648244,135,42.77119
485.086399,164,42.809164
357.908074,127,42.838854
623.505697,207,42.887339
574.700206,188,42.930429
402.51488,140,42.963188
688.276651,228,43.529418
512.884535,167,43.567536
219.199032,93,43.589026
413.187156,143,43.621508
606.4452,197,43.667026
476.968709,163,43.704344
266.188611,110,43.729893
496.997434,171,43.771136
547.804377,178,43.815552
872.80245,281,43.879548
648.199632,210,43.927135
402.006873,140,43.975805
375.458781,132,44.396807
642.009745,219,44.448477
466.401316,155,44.484332
426.906798,151,44.519511
586.470627,188,44.562541
667.206344,212,44.611154
665.077273,215,44.659783
474.845388,163,44.697061
496.208586,164,44.733931
524.309073,175,44.774314
641.843155,213,44.823926
389.640434,137,44.856321
826.272047,268,46.502429
516.751885,170,46.541517
447.842164,155,46.576954
584.527408,184,46.619586
1306.744489,423,46.71683
406.418963,141,46.74857
896.505555,286,46.813154
491.767366,167,46.850502
173.052703,90,46.870947
490.592787,164,46.908322
99.152663,56,47.274255
551.805901,181,47.31707
549.201526,180,47.358027
660.574817,215,47.406745
503.996738,163,47.443177
844.857683,253,47.499681
763.200026,236,47.552586
625.459335,197,47.597086
473.038956,164,47.635095
722.225456,238,47.688487
576.987123,184,47.729782
676.552579,223,48.121858
465.061013,154,48.15687
634.785743,199,48.201547
510.103719,164,48.238334
564.618495,181,48.279207
355.139261,126,48.307772
101.087163,59,48.321231
682.957853,212,48.369388
339.941992,122,48.397006
542.557491,176,48.436873
639.840409,207,48.48359
642.67573,200,48.528617
675.545506,209,48.922116
672.544931,224,48.972622
661.994394,206,49.018735
549.881784,178,49.058156
600.193872,192,49.101507
547.189196,179,49.14164
112.877466,64,49.155974
390.806266,137,49.186842
670.052178,225,49.237489
843.702187,256,49.294976
388.735819,138,49.326384
413.085828,140,49.707201
359.118789,128,49.736434
639.745406,206,49.782853
942.750449,298,49.850013
394.162473,141,49.881685
692.957752,227,49.932527
528.9902,178,49.972963
622.474027,202,50.018441
561.102078,173,50.056954
573.00902,183,50.104054
400.165428,140,50.13558
376.771139,134,50.516001
967.723743,298,50.58514
405.460434,144,50.61785
662.29241,215,50.66676
241.270256,107,50.691279
676.963014,212,50.738327
411.873202,141,50.769819
112.158633,62,50.783981
848.068298,262,50.842508
386.553923,146,50.875693
551.714281,177,50.915653
396.14835,139,50.946566
403.152489,143,51.349462
1763.480778,579,51.480424
372.705482,136,51.511184
591.972254,192,51.554413
643.990589,204,51.600061
646.288749,207,51.646309
388.993408,136,51.677036
643.698913,206,51.723413
251.101444,110,51.748385
627.684561,187,51.790501
490.442302,160,52.295339
525.458084,177,52.335459
670.804297,212,52.383297
647.098825,235,52.436811
629.127047,200,52.484392
684.450688,218,52.534808
848.925612,268,52.596697
604.466412,201,52.642969
750.637532,245,52.700746
805.876146,250,53.562861
665.994564,209,53.610953
243.356665,103,53.634803
621.046086,187,53.67753
357.495877,135,53.708342
466.389594,153,53.743308
736.587371,244,53.799059
766.551719,246,53.85491
452.742316,155,53.890422
669.294667,204,53.936132
786.015897,240,53.989707
679.904096,212,54.53683
661.962154,213,54.584696
562.953128,177,54.62477
419.095082,144,54.657043
475.247867,156,54.716655
349.360134,128,54.746902
611.750058,200,54.791841
664.474132,197,54.835978
753.362554,239,54.889385
633.287073,187,54.931334
1026.827205,335,55.006719
551.480166,191,55.58186
621.852271,210,55.630126
632.346928,199,55.675945
374.762422,135,55.706341
716.203714,242,55.760841
621.776208,201,55.805574
672.310411,195,55.849271
620.589765,209,55.89579
622.593398,183,55.936769
711.656267,223,55.986496
990.775665,326,56.442197
619.469491,192,56.485284
562.963839,171,56.523815
631.988261,184,56.565467
616.12803,194,56.609164
690.773599,218,56.659283
536.482852,176,56.698967
741.28161,227,56.749573
611.310666,195,56.793308
238.530525,101,56.816155
561.341453,170,57.22754
727.37301,230,57.280496
587.277115,193,57.324793
742.427147,239,57.379377
691.725163,220,57.428973
1005.331427,326,57.501759
712.596113,214,57.54932
572.357966,182,57.590403
494.830391,158,57.626208
588.244818,201,57.67098
654.646535,208,58.074749
984.037372,317,58.145625
601.730137,197,58.190265
667.049857,214,58.238225
725.925199,215,58.286416
1039.359846,333,58.361924
396.031371,136,58.392495
754.675982,228,58.443761
539.014961,178,58.484447
655.733483,205,58.893253
694.24138,222,58.942948
748.305811,242,58.99708
600.111591,184,59.038189
440.703288,150,59.071632
647.067435,203,59.116509
677.011071,224,59.166909
383.851295,135,59.197104
133.435453,74,59.213596
1059.650897,324,59.285955
144.6161,78,59.303394
652.417224,213,59.737003
871.998374,279,59.801058
538.062987,174,59.840456
603.198036,180,59.88093
649.718851,196,59.925106
599.952096,187,59.967154
602.286695,188,60.009292
660.209968,199,60.053751
931.838142,305,60.122794
583.127168,193,60.165735
624.227266,202,60.595601
726.67175,227,60.646397
853.678683,254,60.70327
753.562539,240,60.757137
1413.323778,445,60.856571
593.114445,181,60.89732
675.972432,216,60.945797
634.415328,201,60.990932
910.717283,283,61.409503
509.001359,161,61.44566
973.481195,305,61.513656
624.46157,189,61.556207
664.939768,197,61.600452
937.345403,288,61.664451
646.532109,209,61.711352
433.154814,141,61.74307
276.653774,107,61.767254
624.687049,186,61.808971
647.33157,210,62.236518
469.474816,156,62.273978
697.30083,202,62.322565
658.69479,202,62.369202
668.70414,207,62.415847
640.481286,195,62.459394
385.77629,137,62.490278
630.870152,191,62.533156
639.573596,204,62.579048
506.019974,159,62.615493
694.312169,214,62.66475
1254.512514,395,63.105826
