#{"t_start": 1760907604.3554823, "env_id": "Humanoid-v5"}
r,l,t
394.683259,74,39.792092
380.431458,74,39.82395
407.65034,85,39.862904
358.423412,78,39.897471
420.11366,78,39.930333
458.587164,87,39.967441
358.051571,81,40.003029
397.6674,77,40.036968
322.174852,61,40.062435
504.127183,98,40.105417
414.501477,77,40.139356
439.244147,99,40.183308
567.147954,105,40.229102
396.930927,74,40.261599
592.17507,114,40.309723
579.251648,121,41.127378
270.879601,62,41.160296
353.384519,67,41.189721
437.246575,82,41.226433
204.564409,46,41.245253
453.696873,85,41.282491
513.907319,101,41.337416
426.970928,79,41.372211
384.304756,72,41.404505
376.610483,71,41.435166
486.266288,91,41.474317
340.103203,66,41.50386
388.205908,72,41.535253
458.46292,87,41.573569
316.195071,70,41.604182
436.617977,83,41.640276
472.971988,101,41.687836
258.613229,59,41.713563
585.432713,117,41.763793
455.565715,90,41.80487
527.162489,99,41.8481
334.543462,62,41.875143
409.122658,78,41.911138
490.232162,90,41.951812
475.488942,93,41.992558
408.52784,81,42.561846
595.709232,113,42.610292
470.163539,91,42.653975
795.597648,152,42.721386
363.755838,67,42.75006
532.242866,109,42.797416
358.485382,68,42.826487
360.331214,67,42.855165
570.307631,110,42.905003
674.880246,122,42.957679
435.055544,83,42.993911
424.815213,79,43.029011
363.934886,76,43.063287
400.368388,80,43.098648
424.922591,84,43.136285
214.672363,49,43.156487
532.614812,101,43.200407
784.993963,152,43.268982
362.74685,74,43.300545
804.336123,160,43.374455
459.066655,94,43.416061
336.634898,76,43.992646
391.048257,74,44.025316
383.423723,73,44.057612
394.915457,80,44.093797
342.321982,73,44.12581
411.982411,84,44.162154
367.977628,70,44.194983
639.531522,130,44.254744
500.498274,104,44.301075
350.959768,66,44.329427
375.518954,79,44.365146
579.074422,115,44.417401
594.971299,118,44.47107
415.483062,89,44.508985
393.904391,79,44.543349
504.06452,95,44.584021
384.125744,73,44.615513
438.104932,96,44.658138
331.356356,65,44.687459
423.799059,78,44.723003
280.128027,53,44.746762
442.973165,89,44.786649
665.668624,126,44.8429
459.368311,89,44.884045
433.73418,80,45.610526
474.752186,90,45.662413
384.516215,82,45.697951
290.942723,63,45.724663
362.701026,74,45.757389
520.16109,95,45.799326
536.322955,99,45.843752
358.060315,80,45.879821
464.706843,93,45.91959
452.934931,86,45.958925
398.334496,75,45.990382
767.054792,148,46.0574
434.766261,84,46.093901
698.434023,147,46.158679
525.45425,97,46.20447
384.949362,74,46.236207
495.475839,94,46.278217
436.901115,83,46.315682
667.681968,125,46.370296
504.021202,95,46.410451
350.228539,72,46.441971
294.1168,63,46.467436
433.845762,87,47.085856
587.967247,110,47.135794
457.670988,89,47.17556
291.366976,59,47.200149
384.41168,71,47.231559
426.254884,86,47.27472
454.685522,92,47.316349
675.382664,124,47.371207
502.427048,92,47.411522
493.081863,94,47.456801
399.777525,78,47.491984
599.636749,111,47.541595
544.723193,103,47.586317
363.848148,76,47.620219
340.49974,63,47.648094
556.85943,108,47.69433
260.991267,55,47.717338
442.902618,84,47.754692
482.440191,91,47.794916
360.088158,76,47.828345
393.981697,93,47.869103
366.184886,71,47.899704
428.854881,97,47.942352
387.81016,74,47.97472
434.319352,82,48.458231
521.699388,100,48.502367
451.505207,98,48.543995
517.800792,104,48.589346
449.475689,83,48.624943
328.911881,63,48.653357
568.33995,106,48.715694
591.094177,110,48.763743
410.379212,94,48.809375
591.3298,126,48.867972
374.533512,71,48.898759
577.443321,115,48.950556
555.570049,104,48.996311
383.534376,72,49.026781
318.311145,68,49.056918
410.422297,79,49.090763
479.288081,90,49.13055
303.798739,58,49.155272
380.270883,71,49.186207
593.066432,110,49.234973
463.085123,94,49.277398
585.524604,115,49.328749
293.426895,56,49.352799
341.163554,66,49.951217
451.709731,86,49.98856
534.318228,100,50.032265
272.529632,53,50.05547
475.24142,89,50.094474
499.241412,94,50.134323
397.512316,75,50.166104
584.046517,106,50.211196
392.408807,74,50.243253
449.608757,89,50.281685
684.609496,131,50.339124
371.558189,71,50.369891
749.585429,138,50.430993
383.043191,75,50.463517
447.281626,95,50.508888
441.685081,93,50.553717
363.983241,72,50.586553
522.971674,97,50.63188
379.412493,71,50.66334
498.779026,97,50.706016
457.145624,83,50.741675
415.606599,75,50.773524
326.48976,71,50.804102
445.76963,96,51.295151
325.823879,65,51.323608
